run,freq_Hz,period_s,idd_A,,,,
125,6.49E+06,1.54E-07,0.000126642,,,,
126,6.78E+06,1.47E-07,0.000131932,,,,
127,6.23E+06,1.60E-07,0.000122294,,,,
128,6.67E+06,1.50E-07,0.000122308,,,,
129,6.03E+06,1.66E-07,0.000130301,,,,
130,5.59E+06,1.79E-07,0.000129675,,,,
131,5.80E+06,1.72E-07,0.000130437,,,,
132,6.05E+06,1.65E-07,0.000125384,,,,
133,,,,,0,0,0
134,4.96E+06,2.02E-07,0.000127858,,,,
135,5.59E+06,1.79E-07,0.000125927,,,,
136,6.49E+06,1.54E-07,0.000132458,,,,
137,5.72E+06,1.75E-07,0.000133116,,,,
138,5.97E+06,1.67E-07,0.000135251,,,,
139,6.17E+06,1.62E-07,0.000126721,,,,
140,6.19E+06,1.61E-07,0.00012892,,,,
141,6.23E+06,1.61E-07,0.000136455,,,,
142,6.24E+06,1.60E-07,0.000127725,,,,
143,5.96E+06,1.68E-07,3.34E-05,,,,
144,6.36E+06,1.57E-07,0.000130421,,,,
145,6.25E+06,1.60E-07,0.000129536,,,,
146,5.75E+06,1.74E-07,0.000127885,,,,
147,5.16E+06,1.94E-07,0.00013137,,,,
148,6.04E+06,1.66E-07,0.000132394,,,,
149,5.85E+06,1.71E-07,0.000128316,,,,
150,6.83E+06,1.46E-07,0.000126242,,,,
151,6.89E+06,1.45E-07,0.000134793,,,,
152,6.31E+06,1.58E-07,0.000126417,,,,
153,6.22E+06,1.61E-07,3.96E-05,,,,
154,5.60E+06,1.79E-07,0.000129667,,,,
155,6.14E+06,1.63E-07,0.000131554,,,,
156,5.76E+06,1.74E-07,0.000127098,,,,
157,5.63E+06,1.77E-07,0.000122543,,,,
158,6.08E+06,1.65E-07,4.95E-05,,,,
159,5.65E+06,1.77E-07,0.000131121,,,,
160,5.74E+06,1.74E-07,0.000122623,,,,
161,5.85E+06,1.71E-07,0.000129353,,,,
162,6.07E+06,1.65E-07,0.00012159,,,,
163,5.46E+06,1.83E-07,0.00012877,,,,
164,5.51E+06,1.82E-07,0.000127332,,,,
165,5.14E+06,1.94E-07,0.000120879,,,,
166,6.27E+06,1.59E-07,0.000126863,,,,
167,5.44E+06,1.84E-07,0.000129772,,,,
168,6.44E+06,1.55E-07,0.00012718,,,,
169,5.55E+06,1.80E-07,0.000132498,,,,
170,6.00E+06,1.67E-07,0.000131464,,,,
171,6.67E+06,1.50E-07,0.000132372,,,,
172,5.70E+06,1.75E-07,0.000126119,,,,
173,5.79E+06,1.73E-07,0.000128012,,,,
174,6.03E+06,1.66E-07,0.000131186,,,,
175,5.19E+06,1.93E-07,3.31E-05,,,,
176,4.96E+06,2.02E-07,0.000125096,,,,
177,5.06E+06,1.98E-07,0.000124603,,,,
178,,,,,0,0,0
