run,freq_Hz,period_s,idd_A
966,5.52E+06,1.81E-07,2.96E-05
967,5.65E+06,1.77E-07,2.59E-05
968,5.80E+06,1.72E-07,3.08E-05
969,5.97E+06,1.67E-07,3.12E-05
970,5.89E+06,1.70E-07,3.25E-05
971,5.96E+06,1.68E-07,2.85E-05
972,6.36E+06,1.57E-07,3.07E-05
973,6.27E+06,1.59E-07,2.91E-05
974,5.73E+06,1.74E-07,3.03E-05
975,5.89E+06,1.70E-07,3.01E-05
976,5.43E+06,1.84E-07,3.09E-05
977,6.68E+06,1.50E-07,3.10E-05
978,6.37E+06,1.57E-07,3.00E-05
979,5.04E+06,1.99E-07,2.78E-05
980,5.95E+06,1.68E-07,2.80E-05
981,6.38E+06,1.57E-07,3.14E-05
982,5.17E+06,1.93E-07,3.17E-05
983,6.27E+06,1.60E-07,3.13E-05
984,5.72E+06,1.75E-07,3.27E-05
985,5.59E+06,1.79E-07,3.12E-05
986,5.51E+06,1.81E-07,3.04E-05
987,5.91E+06,1.69E-07,3.00E-05
988,5.68E+06,1.76E-07,2.73E-05
989,6.26E+06,1.60E-07,2.90E-05
990,5.89E+06,1.70E-07,3.01E-05
991,5.12E+06,1.95E-07,3.13E-05
992,5.34E+06,1.87E-07,3.01E-05
993,5.43E+06,1.84E-07,3.10E-05
994,6.50E+06,1.54E-07,3.11E-05
995,5.90E+06,1.69E-07,2.90E-05
996,5.90E+06,1.70E-07,2.81E-05
997,6.15E+06,1.63E-07,3.02E-05
998,6.35E+06,1.58E-07,3.15E-05
999,5.62E+06,1.78E-07,2.93E-05
1000,5.71E+06,1.75E-07,2.88E-05
